business_id:ID(restaurant),name,address,city,stars,review_count,categories,RangePrice,Ambiences,Nb_Ambiences,Nb_categories
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,3322 Old Capitol Trl,Wilmington,4.0,23,"Mexican, Restaurants",1.0,['divey'],1,2
_Oksx3ALgKLRVxeAR8l_qA,V-Trap Kitchen and Lounge,607 N Lincoln St,Wilmington,5.0,13,"Restaurants, Mexican, Arts & Entertainment, Event Planning & Services, Italian, Gluten-Free, Nightlife, Lounges, Vegan, Bars, Caterers, Vegetarian",2.0,['classy'],1,12
_NhT0A3LUEd75L_cEXf2_A,Season's Pizza,1721 W Gilpin Dr,Wilmington,3.0,7,"Restaurants, Pizza",,[''],1,2
A_-Vv5oKZNqxsV69_7E2KQ,8th & Union Kitchen,801 N Union St,Wilmington,3.5,177,"Vietnamese, Asian Fusion, Bars, American (New), Restaurants, Breakfast & Brunch, Nightlife, Thai, Gluten-Free",2.0,"['trendy', 'classy', 'casual']",3,9
JNH-hcySeuGmtI_t8dG3Dw,Del Rose Cafe,1707 Delaware Ave,Wilmington,4.0,8,"Restaurants, Italian",2.0,[],0,2
ekBvLA43oEWEswUXZI0bYQ,Shawerma Palace,311 N King St,Wilmington,4.5,8,"Restaurants, Middle Eastern",,[],0,2
5R6YO6K9PkthkTbXqV9slQ,Sakura Japanese Restaurant,4713 Kirkwood Hwy,Wilmington,4.0,86,"Japanese, Restaurants, Sushi Bars, Noodles",2.0,"['casual', 'classy']",2,4
iXemjTj5TOByT1-cNTSaDw,PureBread Deli,1309 Churchmans Rd,Newark,4.0,64,"Food, Bakeries, Delis, Sandwiches, Restaurants",1.0,"['casual', 'classy']",2,5
5ODCsQbRdsFIWlypGF3iUw,Brandywine Brewing Company Restaurant & Brewery,"3801 Kennett Pike, Ste E155",Wilmington,3.0,28,"Food, American (Traditional), Breweries, Restaurants",2.0,['trendy'],1,4
s-7Q1GAQmB-Qsm_UwviHVA,Lone Star Steakhouse,113 S. Dupont Highway,New Castle,2.0,15,"Steakhouses, Restaurants, Seafood, American (Traditional)",2.0,[],0,4
59fWFpyDg01BTEH-Hh6jdw,McDonald's,2702 Philadelphia Pike,Claymont,1.5,25,"Food, Coffee & Tea, Fast Food, Burgers, Restaurants",1.0,[],0,5
YdpDpp130fxiX2DUdQLSqg,Bardea Food & Drink,620 N Market St,Wilmington,4.5,181,"Bars, Restaurants, Nightlife, Italian",2.0,['classy'],1,4
EROSyhoWNCUH53NrDrsHgQ,Mary's Kountry Kitchen,222 Main St,Wilmington,4.0,50,"Restaurants, American (Traditional), Diners, Breakfast & Brunch",1.0,['casual'],1,4
Vo4NZBtF3mr6EJitNnq-Wg,Pizzeria Maki,"4007 Kennett Pike, Ste A",Greenville,5.0,13,"Restaurants, Pizza, Salad, Sushi Bars",,[''],1,4
xNWueX3uZjmixQUkY38GzQ,KFC,1925 Lancaster Ave,Wilmington,3.0,5,"Restaurants, Chicken Wings, Fast Food, Chicken Shop",1.0,[''],1,4
sFtEbnWDtIADseyr8Lx6Qw,Spice N' Nice,3125 New Castle Ave,New Castle,5.0,11,"Caribbean, Restaurants, Food",1.0,[],0,3
ulwns2OavT81v6zG-Sk6ng,Wawa,7 E Commons Blvd,New Castle,3.0,8,"Food, Automotive, Sandwiches, Convenience Stores, Coffee & Tea, Gas Stations, Restaurants",1.0,[],0,7
B6zs6ywn7TfhOmmDtuWQkw,Farm a Sea Bistro & Crafthouse,56 S Old Baltimore Pike,Newark,3.0,28,"Beer Bar, Cafes, Bars, Pubs, Nightlife, American (New), Brasseries, Restaurants",2.0,[],0,8
qmDm7guS7TAZTSDFYY2bug,Pizza Hut,3611 Kirkwood Hwy,Wilmington,1.5,45,"Pizza, Chicken Wings, Restaurants, Italian",1.0,[],0,4
SkWaAf50KiN2m0zXfnAuiA,Luigi's Cafe,723 Ace Memorial Dr,Hockessin,4.5,63,"Cheesesteaks, Restaurants, Italian, Pizza, Salad",2.0,['casual'],1,5
D392vqhMjDPkHw1U8p66Uw,Maryland Avenue Sub Shop,623 Maryland Ave,Wilmington,4.0,15,"Sandwiches, Restaurants, Cheesesteaks",1.0,[],0,3
O1gJVygW6UVgKCpErmYZfw,Subway Restaurants,1710 Marsh Rd,Wilmington,2.5,7,"Restaurants, Fast Food, Sandwiches",1.0,[],0,3
ggJXlslLYndvE7n3hgJBCQ,Capital One 360 Café,802 Delaware Ave,Wilmington,4.0,5,"Financial Services, Food, Restaurants, Cafes, Banks & Credit Unions, Coffee & Tea",1.0,[''],1,6
CKKY7kxtznKVzm9FBzAL4w,Little Caesars Pizza,2500 Foulk Rd,Wilmington,2.0,14,"Food, Italian, Pizza, Restaurants",1.0,['classy'],1,4
Q4OTSH9DaoeqtYcg6qYtZg,Subway,"4721 Kirkwood Hwy, Unit  5",Wilmington,1.0,5,"Fast Food, Sandwiches, Restaurants",1.0,[''],1,3
OlOVRlcEstxKK_6hMjy63A,Hollywood Grill,1811 Concord Pike,Wilmington,3.5,190,"Restaurants, Diners",2.0,['casual'],1,2
eNxh94Ogxwuomg7JsZu98w,Adda - Indian Grill,4621 Ogletown Stanton Rd,Newark,2.5,11,"Restaurants, Indian",,[''],1,2
o8JeOB8HTa5HYHg6hfqTHw,Walt's Chicken Express,103 N Lincoln St,Wilmington,4.0,51,"Restaurants, Fast Food, Soul Food, Southern",1.0,['divey'],1,4
7Ld1DxAhSlGSateku0iqbg,Ristorante Attilio,1900 Lancaster Ave,Wilmington,4.0,50,"Restaurants, Italian",2.0,['classy'],1,2
7O7YHTUB3uqXHsQSLKR0SA,El Jefe Restaurant & Mexican Grill,110 Astro Shopping Ctr,Newark,3.5,69,"Nightlife, Mexican, Restaurants, Dive Bars, Bars",2.0,['casual'],1,5
MZW_eTFYFBvHYg5OFqDRCA,Red Robin Gourmet Burgers and Brews,6100 Brandywine Pkwy,Wilmington,3.0,118,"Burgers, American (Traditional), Restaurants",2.0,['casual'],1,3
i2qrXvLkhyG4xyRI-ddcZA,Baja Fresh,"530 Jfk Memorial Hwy, # I-95, Delaware Welcome Center",Newark,2.5,17,"Event Planning & Services, Caterers, Mexican, Restaurants, Tex-Mex, Fast Food",1.0,[],0,6
yDiWYpuzRxcTgSi_O4JZpQ,Masala Kitchen,110 N Dupont Hwy,New Castle,4.5,79,"Vegetarian, Ethnic Food, Food, Specialty Food, Restaurants, Fruits & Veggies, Indian, Vegan",1.0,"['classy', 'casual']",2,8
ThZyytdc_kj2uBYFiSao-A,Arner's Restaurant,201 N Dupont Hwy,New Castle,2.0,57,"Food, American (Traditional), American (New), Bakeries, Salad, Breakfast & Brunch, Restaurants",2.0,['casual'],1,7
uoMWvXch6sWnI9FMsE_-Vg,Cafe Napoli Restaurant & Pizzeria,4391 Kirkwood Hwy,Wilmington,4.0,114,"Pizza, Restaurants, Italian",2.0,['casual'],1,3
02kw1y-cUK5v_u5BaAQvjg,Arby's,134 N Dupont Hwy,New Castle,3.0,9,"Restaurants, American (New), Sandwiches, Fast Food",1.0,[],0,4
fCFUlCHG4spZ3O0vbqnYjA,Pat's Pizzeria,2008 W Newport Pike,Wilmington,2.0,5,"Pizza, Restaurants",,[''],1,2
LSxmfbgcZLdQ5ai2vf2nmA,Zaikka Indian Grill,1253 Churchmans Rd,Newark,3.5,69,"Vegetarian, Indian, Restaurants, Vegan, Fast Food",1.0,['casual'],1,5
psD0qpCK-iENFO9c8hmnkw,Famous Crab Cakes,651 Naamans Rd,Claymont,3.5,37,"Restaurants, Seafood, Sandwiches",2.0,['casual'],1,3
c4D851qxOujE5KTH8upXTA,Wendy's,90 University Plaza,Newark,2.0,23,"Restaurants, Burgers, Fast Food",1.0,[],0,3
5RtAJPXFLTzwALIe1mtNuA,Piree's Piri Piri Grill,5335A Limestone Rd,Wilmington,4.0,77,"Sandwiches, Chicken Shop, Restaurants, Salad, Chicken Wings",2.0,"['trendy', 'casual']",2,5
xtbAqP_Ftb3kYJ53Hv6H5w,Top China Buffet,1714 Marsh Rd,Wilmington,2.5,5,"Restaurants, Chinese",,[''],1,2
ZB2T9dwB4vhHPsJC_4eOnw,Nordstrom,100 Christiana Mall,Newark,4.0,24,"Children's Clothing, Comfort Food, Fashion, Department Stores, Beauty & Spas, Women's Clothing, Restaurants, Men's Clothing, Cosmetics & Beauty Supply, Shopping",3.0,[''],1,10
mtowE4p6gOgyGrHAsMz-rg,Eeffoc Cafe,1428 N Clayton St,Wilmington,3.0,31,"Food, Restaurants, Breakfast & Brunch, Sandwiches, Coffee & Tea",1.0,['casual'],1,5
f9iPWhAeA_IKCF-aPcud1A,Philippine Bread House And Restaurant,"3317 Old Capitol Trl, Ste D",Wilmington,3.5,7,"Restaurants, Filipino, Food, Bakeries",2.0,[],0,4
ccEgmgcc5uLJejser0UD0g,New Castle Bagels & Deli,1420 N Dupont Hwy,New Castle,4.0,21,"Food, Breakfast & Brunch, Bagels, Restaurants, Delis",1.0,[],0,5
oS70RVt-RegY3Ts0hLASQA,Saap Lao Thai Cuisine,287 Christiana Rd,New Castle,4.5,63,"Restaurants, Thai, Laotian",2.0,['casual'],1,3
N-_ilHVIMQqzkga7nHfA8A,La Tonalteca,1724 W Newport Pike,Wilmington,3.0,6,"Mexican, Restaurants",2.0,[''],1,2
VMiDHHR-JHgB4ZoVluxpLQ,La Tolteca,1724 W Newport Pike,Wilmington,3.0,6,"Restaurants, Mexican",1.0,['divey'],1,2
ixsljpxu56VCTtayIELqUg,Tokyo Sushi,3 S Orange St,Wilmington,3.5,17,"Sushi Bars, Restaurants",2.0,['casual'],1,2
3zWNxtRhyR4rLPfXyQgSyw,Wawa,4555 New Linden Hill Rd,Wilmington,3.0,10,"Restaurants, Coffee & Tea, Sandwiches, Delis, Food",1.0,[],0,5
XF86J5bJKkmueBL-PmPbcg,Subway,1012 Wilmington Ave,Wilmington,2.5,7,"Sandwiches, Restaurants, Fast Food",1.0,[],0,3
OGbdvZAvSZ30l8sde9GSwQ,Mr. Pasta,1607 Philadelphia Pike,Wilmington,4.0,39,"Event Planning & Services, Restaurants, Caterers, Italian",1.0,['casual'],1,4
wWcETNWBnFEi1J_W_9hXJA,El Fogon De Tato,2304 Kirkwood Hwy,Wilmington,5.0,6,"Puerto Rican, Restaurants, Latin American, Caribbean",,[''],1,4
DAcqRGI_u8yNCcUIczfNxA,Wawa,4030 Concord Pk,Talleyville,4.0,11,"Delis, Food, Automotive, Car Dealers, Restaurants, Convenience Stores, Coffee & Tea, Gas Stations, Sandwiches",2.0,[],0,9
gTM5c2B3X2nEvYg6Jlw_EA,The Mayne Dish,2202 Kirkwood Hwy,Wilmington,4.5,25,"Caribbean, American (New), Restaurants",,[],0,3
k9W1gDPg4TziOTqY_xjTyQ,Friendly's,5331 Brandywine Pkwy,Wilmington,3.0,35,"Food, American (Traditional), Ice Cream & Frozen Yogurt, Burgers, Diners, Restaurants",2.0,[],0,6
hFa7UxRZgJDQJ3UBhQsu9A,Piccolina Toscana,1412 N Dupont St,Wilmington,3.5,99,"Restaurants, Italian, Nightlife, Bars",2.0,['classy'],1,4
_BqPnypB6wPZRPbEqtKy6A,Grotto Pizza,2015 Concord Pike,Wilmington,2.5,63,"Burgers, Sandwiches, Restaurants, Pizza",2.0,['casual'],1,4
sKQ0KYon7eT6xEnCpb18aw,Chili's,4147 Concord Pike,Wilmington,3.0,25,"Restaurants, Nightlife, American (Traditional), Tex-Mex, Bars",2.0,['casual'],1,5
MmFNgQrsPrFWUx6Wr3KS1w,Stoltzfus Sausage Sandwiches,"110 N Dupont Hwy, Ste 186, New Castle Farmers Market",New Castle,4.5,9,"Food, Sandwiches, Restaurants, Specialty Food, Meat Shops",1.0,[],0,5
UZkuF34Plfao49I9dylzXg,QDOBA Mexican Eats,"5609 Concord Pike, Unit 7a",Wilmington,3.0,18,"Restaurants, Mexican, Fast Food, Event Planning & Services, Caterers",1.0,[],0,5
iCfB58Cvb_rw_SDAgPXLfA,Russell's Quality Food,1204 Centerville Rd,Wilmington,4.5,103,"Barbeque, Breakfast & Brunch, Burgers, Restaurants, Local Flavor",1.0,['casual'],1,5
sTQZ6WHggp7pBnn7mW7y0w,Dreamers Cafe,2095 Philadelphia Pike,Claymont,3.0,11,"Restaurants, Sandwiches, Cafes",,[],0,3
citzbW-2MVEZRNBqpVO-Jw,Buffalo Wild Wings,2062 Limestone Rd,Wilmington,3.0,48,"American (Traditional), Restaurants, Chicken Wings, Sports Bars, Bars, Burgers, Nightlife",2.0,['casual'],1,7
jVJH1KfitQi87MYMh6vyMg,Anthony's Coal Fired Pizza,4805 Limestone Rd,Pike Creek,4.0,119,"Pizza, Nightlife, Italian, Restaurants, Bars",2.0,['casual'],1,5
iJKOUYgigs4VYsWny6AtEA,Ciao's Trolley Pizza & Grill,1600 Delaware Ave,Wilmington,4.0,77,"Restaurants, Pizza",1.0,['casual'],1,2
W6S482dRQ_9nCcLjfv8VNg,Bawarchi Indian Restaurant,2909 Concord Pike,Wilmington,3.5,101,"Indian, Chinese, Restaurants",2.0,['casual'],1,3
XYoyLbHwbBJShaZltxsAYQ,Popeye's,530 Jfk Memorial Hwy,Newark,1.5,10,"Southern, Restaurants, Fast Food",1.0,[],0,3
7ELSYoA2CZx8UPSLrvhOXg,C & C Country Maid,260 University Plz,Newark,4.0,10,"Restaurants, Delis",1.0,[],0,2
1Ye_elsSB-XjKgWAHDwPbw,Applebee's Grill + Bar,105 Wilton Blvd,New Castle,2.0,35,"Restaurants, Bars, American (New), Nightlife, American (Traditional), Sports Bars, Steakhouses, Burgers",2.0,['casual'],1,8
fLeD_h6uD4yEN2ciI08RiA,Bubble Shack,3205 Concord Pike,Wilmington,4.5,97,"Sandwiches, Asian Fusion, Food, Vietnamese, Restaurants, Bubble Tea",1.0,['casual'],1,6
JaHuWM3Tp1aG7NW66mhutw,McDonald's,3014 New Castle Ave,New Castle,2.0,6,"Restaurants, Fast Food, Burgers",1.0,[''],1,3
5IFqqWJTaPNoY2ZgRlX73w,Cafe Verdi Restaurant,"12A Trolley Sq, Ste A",Wilmington,3.0,44,"Restaurants, Italian, Pizza",2.0,[],0,3
MTjS4g__WMgA-PPMjCL4fQ,Popeyes Louisiana Kitchen,1505 Dupont Hwy,New Castle,2.0,21,"Chicken Wings, American (Traditional), Fast Food, American (New), Restaurants",1.0,[],0,5
19fHbf0qzihtEtXQZ2ntww,Walter's Steakhouse,802 N Union St,Wilmington,4.0,73,"Nightlife, Steakhouses, Bars, Restaurants, Seafood",3.0,['classy'],1,5
ScXJHSCceQao6K87VK199Q,Mona Lisa,607 N Lincoln St,Wilmington,4.0,18,"Restaurants, Italian",2.0,[],0,2
8zJsbIVBXDoGaEmQNicjdg,Fusion Spice Bar & Grille,"2801 Lancaster Ave, Ste C",Wilmington,3.5,7,"Latin American, New Mexican Cuisine, Nightlife, Restaurants, African, Bars",,[],0,6
Y4eaKcLP0hCIfvhknOT4uQ,Crossroads Restaurant,4579 Kirkwood Hwy,Wilmington,3.5,103,"Breakfast & Brunch, Food, Diners, Ice Cream & Frozen Yogurt, Restaurants, American (New)",2.0,['casual'],1,6
5cvVmZYhYr1P0ot0ed2lJQ,Riverfront Bakery,313 S Justison St,Wilmington,4.5,32,"Coffee & Tea, Food, Breakfast & Brunch, Bakeries, Restaurants",,[''],1,5
oQcV39W4ApVURMAXd7qhzw,Masala Kitchen,825 N Market St,Wilmington,4.0,32,"Indian, Restaurants, Vegetarian, Vegan",1.0,['classy'],1,4
dsglOxl3QNlMzidRhZ4NWw,Papa John's Pizza,"4140 Ogletown Stanton Road, Suite 20",Newark,2.0,13,"Restaurants, Pizza",1.0,[''],1,2
O7vMyd_Lg2-1DTW8VPFwcQ,Three Countries Pizzeria,202 E 6th St,New Castle,3.5,13,"American (New), Mexican, Pizza, Restaurants",1.0,[],0,4
8k3m4HBZB0h--N98bV4j8Q,Chick-fil-A,204 Christiana Mall,Newark,3.5,18,"Event Planning & Services, Caterers, Chicken Shop, Chicken Wings, Restaurants, Fast Food",1.0,[],0,6
VHJBGikBqXpdc6mc7qtQ8g,Simba Tropical Grill,333 Naamans Rd,Claymont,3.5,7,"Restaurants, African, American (New)",2.0,['casual'],1,3
gdV2mdEGR_kPA9EW6r2Qeg,China Inn,601 Maryland Ave,Wilmington,2.5,7,"Chinese, Restaurants",1.0,[''],1,2
ilriW8ywq5HFs56Ux8pftw,Ciro Forty Acres,1836 Lovering Ave,Wilmington,3.5,36,"Cafes, Coffee & Tea, Food, Italian, Restaurants, Breakfast & Brunch",2.0,[''],1,6
hAV6BW2gfdtbDhxeBJUvIQ,Lucy's Pizza & Restaurant,3840 N Market St,Wilmington,3.5,27,"Restaurants, Pizza",1.0,[],0,2
MkYu8dMDQFX830cIqMo90Q,Old Country Buffet,1325 New Churchmans Rd,Newark,3.5,40,"Salad, American (New), Breakfast & Brunch, Restaurants, Buffets, American (Traditional)",2.0,[],0,6
pp79bmyve2egmM1_9Rh9Fg,Margaux,902 N Market St,Wilmington,3.5,16,"Cocktail Bars, French, Restaurants, Bars, Nightlife, Brasseries",,[''],1,6
Z5gHx5r8Amn_LB4eNSJs_A,Adobo Alley,1700 Kirkwood Hwy,Wilmington,4.5,39,"Event Planning & Services, Caterers, Restaurants, Sandwiches, Breakfast & Brunch, Chicken Wings, Filipino, American (New)",,[],0,8
wlzn5BhVMS2Kz3BYcTZIRg,I M Coffee,1105 N Market St,Wilmington,4.0,6,"Sandwiches, Juice Bars & Smoothies, Coffee & Tea, Food, Restaurants",,[''],1,5
sHRfeIQg6FMhjKkiNfaLgw,Captain's Catch Seafood,5828 Kirkwood Hwy,Wilmington,3.5,12,"Seafood Markets, Delis, Restaurants, Food, Specialty Food, Seafood",3.0,[''],1,6
fd_fNaeZxcZfUza3K6Be9w,Marias Pizza & Pasta,723 Ace Memorial Dr,Hockessin,4.0,12,"Italian, Restaurants",2.0,['casual'],1,2
N-EQ9UDuFHT9RyC1JFX5pQ,Pete's Pizza,2625 N Market St,Wilmington,2.0,36,"Restaurants, Pizza",1.0,[],0,2
yQFHhWKAr2f8LNQvq-8NxQ,Brown Bag Deli and Grocery,301 E 9th St,Wilmington,4.5,6,"Delis, Sandwiches, Restaurants",1.0,[],0,3
NBPOJO1QZE_65BM4qmQahQ,Golden Castle Diner Restaurant,2722 Concord Pike,Wilmington,3.5,12,"Restaurants, Diners",1.0,[],0,2
4VGEq2AHUw3uP2L51S8raw,Cafe Scalessas,504 Greenhill Ave,Wilmington,3.5,7,"Restaurants, Italian",2.0,['casual'],1,2
XOOsIjiMVQYB3An7z89Mnw,Piri Piri Grill,5335 Limestone Rd,Wilmington,4.5,6,"Barbeque, Restaurants, Chicken Shop",,[''],1,3
TUU1mt51yasYH0QYwzKTEg,Pachamama Rotisserie Chicken,3 S Orange St,wilmington,4.0,61,"Mexican, Barbeque, Restaurants, Caribbean, Latin American, Peruvian",,['casual'],1,6
1C1zjPi4rYwgGr8kD-1pwA,Panera Bread,2311 Concord Pike,Wilmington,2.5,47,"Sandwiches, Food, Breakfast & Brunch, Bakeries, Bagels, Restaurants, Soup, Salad",1.0,[],0,8
QrCC-AbRjY8J0jw-aBcotQ,Wingstop,"4723 Kirkwood Hwy, Ste C",Wilmington,3.0,8,"Chicken Wings, Restaurants",,[''],1,2
G01vpgoEWyYxESzZEij5sA,Five Guys,2217 Concord Pike,Wilmington,3.5,55,"Burgers, Restaurants, American (New), Fast Food",1.0,['casual'],1,4
koYe0Xt78lAigCvFRiCw8w,Zoup!,2136 Fashion Center Blvd,Newark,4.5,76,"Soup, Salad, Sandwiches, Restaurants",1.0,['casual'],1,4
yn57lTycvUvogODsFEyWVQ,Palace Of Asia,3421 Kirkwood Hwy,Wilmington,3.0,61,"Pakistani, Restaurants, Indian",2.0,['casual'],1,3
LdGu5XlzAX0XalxAUMMdwA,Kuteer,54 Carpenter Plz,Wilmington,4.5,13,"Food, Indian, Restaurants",2.0,[],0,3
tvlElS5cQ6YVEVOb34ujqQ,Coffee Beanery,"4737 Concord Pike, Ste 620, Concord Mall",Wilmington,3.5,9,"Food, Coffee & Tea, Restaurants",1.0,[''],1,3
HurD0KDmuuHVNnh1lGb_OQ,Dragon Cuisine,401 N Market St,Wilmington,3.5,15,"Restaurants, Chinese, American (Traditional)",1.0,[],0,3
cbfQNOgUYCu3Isfa6icYgQ,El Patron Restaurant,1718 W Gilpin Dr,Wilmington,4.5,18,"Restaurants, Mexican",1.0,[],0,2
hrPLZ99KVPz_7yxZVfc9kA,Applebee's Grill + Bar,900 Churchman's Rd,Newark,3.0,37,"Restaurants, Burgers, Bars, Steakhouses, American (Traditional), Nightlife, Sports Bars",2.0,['casual'],1,7
E55sNGuWYTRlH3r6_5OlOg,Domaine Hudson,1314 N Washington St,Wilmington,4.5,150,"Local Flavor, American (New), Restaurants, Desserts, Nightlife, Bars, Wine Bars, Food",3.0,"['intimate', 'classy']",2,8
hF-Ndu77yzspMkDZv9bWzg,Carmen's Kitchen,1644 W 4th St,Wilmington,4.5,12,"Restaurants, Caribbean, Specialty Food, Puerto Rican, Food, Imported Food, Ethnic Food, Latin American, Cuban",1.0,[''],1,9
uH_nXWJn51aHspawHb-GBA,Rosenfeld's Jewish Delicatessen,1204 Washington St,Wilmington,3.0,30,"Restaurants, Sandwiches, Kosher, Caterers, Event Planning & Services, Delis",,[''],1,6
