:START_ID(user),:END_ID(restaurant),review_id,stars,useful,cool
8rrmvJ7W3ujplXuOhjE2Hg,yDiWYpuzRxcTgSi_O4JZpQ,2xlNGuN8naQTHO3_xY0lGw,5,0,0
TRFTDMJegE6DituEKBpEKQ,W6S482dRQ_9nCcLjfv8VNg,_Dkml_CfMMb_wWeGpFtczg,1,0,0
glO-c9FC0RaY2GyiamCQFA,OlOVRlcEstxKK_6hMjy63A,EmLTCw2p9BhOwnzHFXgGaQ,3,0,0
cFaHx-FkCnzdfF8BccukIg,DAcqRGI_u8yNCcUIczfNxA,PlYifdeyiixRZkymbUNqVQ,5,1,0
hefsTMvc-iSBsY_Nfa8WCg,5IFqqWJTaPNoY2ZgRlX73w,PtUd264rjqWuEzL89nf64w,5,0,0
uXI02ZXkTrVfjcs8ogfAhQ,ixsljpxu56VCTtayIELqUg,jh63cU95B-Kjgyev_a_4oQ,3,0,0
yFY8vpUER318VtlT-FV0zA,ixsljpxu56VCTtayIELqUg,2DUxwJgRW1Ds_EN763CiQQ,4,7,0
pDb21-rXH8Kp7o8VnhPXfw,EROSyhoWNCUH53NrDrsHgQ,lV_V_FklhhmMaWRXAB_tyA,5,2,0
duKhEm4zoR5G2nllvoxqgQ,ggJXlslLYndvE7n3hgJBCQ,OaYClWZ3UyrAWo60tGCVsg,4,3,0
tNmMjWPcQk8zeUR0phG8UQ,ccEgmgcc5uLJejser0UD0g,TM1PkkUDSMpb0ijfePRmBQ,4,1,0
71_DHzOBVFqm8QcnMg_9nA,7O7YHTUB3uqXHsQSLKR0SA,sw_4E8mRaRFjU-oCcWvfDQ,5,0,0
hnBjegpdsr9rqMBD4qf3Yw,CKKY7kxtznKVzm9FBzAL4w,_Xc59GTigWeEudLbRulLtw,1,0,0
C3g8rpjTzTdxmujnHaR1Tw,ThZyytdc_kj2uBYFiSao-A,1WFRWOUQjfl0R2eH6veBnQ,1,0,0
9kMl5dY91gmSWOqYM7SXkQ,ThZyytdc_kj2uBYFiSao-A,F7Ij517v1icGKajQN6IahQ,1,2,1
jnP_wqOZGUsWVMwNH5jD0A,psD0qpCK-iENFO9c8hmnkw,ZLVPEj5TNyYDxRXH8JndKQ,4,1,0
0H91JkjnSEXlNCIRvrZxKQ,A_-Vv5oKZNqxsV69_7E2KQ,jt7r04KKzpy4HKjFiuqBkA,5,0,0
NMOxipsnXc6olWdHYzXiYA,MZW_eTFYFBvHYg5OFqDRCA,50_IPMsBuclmeMme2r69Rw,3,0,0
KZNpUHqATkV6CfDMwC8HzQ,uoMWvXch6sWnI9FMsE_-Vg,BsxM-F-H6Rsq66R739BKxg,4,0,0
tNmMjWPcQk8zeUR0phG8UQ,uoMWvXch6sWnI9FMsE_-Vg,Je-DY6xJb3erto4rAAUAbA,3,0,0
o4weHX0tKQRJx_3UeiNiKQ,iJKOUYgigs4VYsWny6AtEA,TUmoUxxqYMhZfnOnB2QWxw,4,4,1
XjLvFaNKzzprEDRR-3kxsQ,OlOVRlcEstxKK_6hMjy63A,CzqjdvdDIscS7zgGVw7Zxg,4,0,0
n2UpKhkU2N-66a1QQzrjYw,Dy91wdWkwtI_qgjAIZ0Niw,NCFxVrkBeIrd4FaMiOYMjA,3,0,0
xJsQdMwcKZDdaF9ZfcY75w,1Ye_elsSB-XjKgWAHDwPbw,_CGKxv6za2tCtrKowjnkjQ,1,0,0
wOtU6wSzzE_pibrbKa-n6Q,iJKOUYgigs4VYsWny6AtEA,A5DNY8-D--lvnN3kULVWCA,4,1,0
GIDIA7h46PDp2LirqCjtpw,D392vqhMjDPkHw1U8p66Uw,xIHgQqnqNXljZiS6qZlMZQ,5,3,0
h8zf3ABs1ZBfxtJjPrs__w,hFa7UxRZgJDQJ3UBhQsu9A,gkS5Repk69a-DP_TMbgB_w,5,0,0
Pv_ej8xzMvBijfd96gQ18A,ixsljpxu56VCTtayIELqUg,_iJVbGplMVHedz4OGhACrw,4,2,0
Kj0Q_b0DHCghpK65CP3JVw,7O7YHTUB3uqXHsQSLKR0SA,cIquDyNc744By2bHLxqfIA,1,0,0
xOFcwFrmjwnXYjLqxk_rjQ,OlOVRlcEstxKK_6hMjy63A,TVLHNezslSkBMLkuJzCf-g,1,0,0
_MZgpTdm-0HoTl6y9rVHgA,iJKOUYgigs4VYsWny6AtEA,vnKQUkXOd1dJqNaE3v4slQ,4,0,2
B326uLLhe-vBCzuRt4cgIQ,uoMWvXch6sWnI9FMsE_-Vg,GPq3wEvpcgL8RCNZ48e5dA,5,1,0
Aa1cdgFJYWe37RE4dnrh0w,sKQ0KYon7eT6xEnCpb18aw,fQbAGJDA1NcY0eV5tVvyZA,2,0,0
H23mqs3dfQZJKmVhdFLL8A,5IFqqWJTaPNoY2ZgRlX73w,SMMcnv0U52M5wHGbSIuLTw,4,0,0
eS-FKZSwF7nVo5z_u7GWBg,OlOVRlcEstxKK_6hMjy63A,-K-cKT1vqdxsULnt3NRtRQ,3,0,0
lKXC8QOjVginznZymty7OA,xtbAqP_Ftb3kYJ53Hv6H5w,lboTi4ugxWmTX1xaQKro8A,1,0,0
kh98qgXOvPRvD2vHI3zQNQ,7Ld1DxAhSlGSateku0iqbg,Exn5AZNLWc0HRU9gxJHaBg,5,1,1
61nr50PqgF4WUWx4r-OcsQ,5RtAJPXFLTzwALIe1mtNuA,0LdQwsbjC42ZHZG58yL0JA,3,0,0
babz0Skb20B2C-y4oUof5w,OlOVRlcEstxKK_6hMjy63A,25vz0UD1XgpTR5equRyUAA,3,0,0
IWxNILja-WvurTuJWJ4skA,LSxmfbgcZLdQ5ai2vf2nmA,u-fVqF3HpFCyzrpeiGJeng,3,0,3
6VYj2DVWmASWfFJ0WxAiyQ,k9W1gDPg4TziOTqY_xjTyQ,c8lthzBWwl5dm5OfwO9bMA,2,2,0
QPLl0ylUKzC4gEji7BVkow,iJKOUYgigs4VYsWny6AtEA,PAV43QBxO2X8AePfUgscpg,5,0,0
B4cnr5d2S_7McR3XBfrscA,MZW_eTFYFBvHYg5OFqDRCA,QZr0dkTX0k0X6YpQCOgaPQ,3,0,0
AYRM33lQayNtA6JreR_9Gw,uoMWvXch6sWnI9FMsE_-Vg,yQ9pbFecfJ4eRXKBZjL95A,5,0,0
_fve2DDscsVRkkJ0wb4BiA,OlOVRlcEstxKK_6hMjy63A,3dQ6ck3RkzDHWEooW-zvWQ,4,0,0
2aYMMSAxuhkKWaBWH8Oykg,W6S482dRQ_9nCcLjfv8VNg,OuGlpWIBI_mzcCfwrULuJA,1,2,0
5py7HurGiQkg5hKwelk3HA,_NhT0A3LUEd75L_cEXf2_A,uzlchCYjuV8GkEYeWSYp2Q,2,0,0
4CWSSJJJQTuuwbu4VnI6RA,s-7Q1GAQmB-Qsm_UwviHVA,hIZK-bcZRf-dFNMOX6DcYw,3,1,0
MLNeHJHL7dCxXMHyq4PLLw,ScXJHSCceQao6K87VK199Q,Q-1gmuaJuVLdk6ZwDrRPSw,4,0,0
IMVZIi7x3d3NIQH1T5MN-Q,ZB2T9dwB4vhHPsJC_4eOnw,3ljSS0wDsgOiNNJM56MudQ,5,2,2
idIPhxMAWADHMYSx8JL38Q,3zWNxtRhyR4rLPfXyQgSyw,c8_fVHFkvUoPisI32bvpeA,4,0,0
bG-tKd04pMHcRxduL79d2w,iJKOUYgigs4VYsWny6AtEA,XLSnt0_4_sGmkMZUqLVr0w,5,0,0
NIbqPvGZGYZBMo1HKSJsQw,A_-Vv5oKZNqxsV69_7E2KQ,X7aG8rXpeKyWCI2a-Cq6qQ,3,0,0
ucD25otZ0uqWPSJnl4muQQ,Dy91wdWkwtI_qgjAIZ0Niw,jMbvmLdTYfppyWPpYAqguQ,4,0,0
0Ler18OI57Ef6C4OzwACAg,W6S482dRQ_9nCcLjfv8VNg,wjfz5EwJP9wqrgaWmz1vcw,1,11,1
EWmxCRMYEO3vaHXhJ35smg,XF86J5bJKkmueBL-PmPbcg,1gpg75fdwRnFIfRYvCNHUg,5,0,0
AjGyKyt1NRz_WjcoTLR8Mw,OlOVRlcEstxKK_6hMjy63A,OgWFHwwTEEjkA2kDOsfB5g,5,1,1
ujzlmw6ARWVf1s6Os-I4yg,LSxmfbgcZLdQ5ai2vf2nmA,zf41SC8-s0oV9x9BA-UAfw,4,3,1
J4P4nUNvXD_E1b5ro_beKw,19fHbf0qzihtEtXQZ2ntww,FwNy19SsUVkAEeWFPk5W4g,5,1,1
kBFb2l1OmfQ-zLOR1d112Q,5IFqqWJTaPNoY2ZgRlX73w,Hn1bILyZiQuxqzBnQovBZg,2,9,1
6Rd-Oz0Iqns4_9NIhG9blw,MTjS4g__WMgA-PPMjCL4fQ,eSQATTmmx1j09oMdTjLB5A,2,0,0
XjLvFaNKzzprEDRR-3kxsQ,MZW_eTFYFBvHYg5OFqDRCA,S1iYNFocF8VIrpJKJuaO4g,2,0,0
z02XKjGqJMONH59_lUHlTQ,7O7YHTUB3uqXHsQSLKR0SA,vnRINQnMlLLuuHi-f7LXPg,3,1,0
wGihwyHDN41uCHjJydVkIg,O1gJVygW6UVgKCpErmYZfw,06tpFl3kflw7uMwm7JcUqA,4,0,0
OoBk2WH-X4tS3CUQa1ZvFA,fLeD_h6uD4yEN2ciI08RiA,k1dzukLvkRVY4m1IyhFisA,5,3,3
SxbF2nhujc3dtIP02o875Q,qmDm7guS7TAZTSDFYY2bug,s4gwGjRZlTzw2UCi23yrlQ,4,0,0
HfjOWCJyRsUCSGBKkmudgw,OlOVRlcEstxKK_6hMjy63A,gKZcu0TZQRjrhXV4UQFRTw,1,0,0
ES-WvATjZylnoamV2b00Aw,5IFqqWJTaPNoY2ZgRlX73w,AEISsryhPRCQcePDFontYw,2,0,1
NieiBWM7Xh69ylwZaRNiTw,fLeD_h6uD4yEN2ciI08RiA,6LVz9uwaPpYSCMeSATeZwA,5,2,2
3Yfjs04HMj_BEvWvKmqz7A,OlOVRlcEstxKK_6hMjy63A,ZO1DR-_6pqcCUz4bn7hLuQ,5,0,0
UKjsdQvypama0X_henp77A,W6S482dRQ_9nCcLjfv8VNg,CZ7HOlSaTwkasNXykVCWuQ,4,0,0
K0trmNF0EAGB4bfcNThoMQ,W6S482dRQ_9nCcLjfv8VNg,KoGDCvrrmlkSp4i_LdUIdw,4,1,0
wig0uC_qyPXfm3SmsjFCVQ,5RtAJPXFLTzwALIe1mtNuA,mj_ib5wR-q26-ERRJ6GMnw,1,2,0
rHzx6yn-6TsLhr0h1s4K3Q,uoMWvXch6sWnI9FMsE_-Vg,-iCWEdAZmHPKfejgwstmzg,5,0,0
mTOW5AWN5zOGZnzggtaEhg,mtowE4p6gOgyGrHAsMz-rg,OBzbrYnWZvJ4I2YVg-l6Vw,5,0,0
vvM9Q_C6xaeY4Wa3IG4pRA,7O7YHTUB3uqXHsQSLKR0SA,HPm28IFEOx9U4IK5KooD6w,4,0,0
_fve2DDscsVRkkJ0wb4BiA,MZW_eTFYFBvHYg5OFqDRCA,Dln65UQjyQjVB3ztkA71Bg,4,1,0
eUrjTXJLCZzVUMFjg0sgXw,7Ld1DxAhSlGSateku0iqbg,jR6fNQiyuRtqHWPWdIsBwg,4,0,0
RFiu3N0y6OLyDWyEYrXa_Q,A_-Vv5oKZNqxsV69_7E2KQ,zFzJ0UyTVNzhWKBCAw7IBw,5,0,0
I1yyxVhartPqVpNBkIcKEw,A_-Vv5oKZNqxsV69_7E2KQ,ddhUJgCAIcZ0_iZlQXssIQ,5,0,0
