user_id:ID(user),name,review_count,useful,nb_friends,fans,friends
XLs_PhrJ7Qwn_RfgMM7Djw,Weili,90,71,0,1,[]
IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,1325,23,35,"['y3Wtx1pOvTiqsJRkjceXiw', '_BcWyKQL16ndpBdggh2kNA', 'lRRuTimITgwzoXLIM3g9qw', 'z02XKjGqJMONH59_lUHlTQ', '47K1MpOBhigOvjuBcDbm7Q', '2-RlTk9dJNpj85MR2B46Cg', '_hPjqzQDiyw1-4U_IAETpg', 'dhLizr4a2oydrv15y56r0A', 'rkxGrjk2WeAT5ZMfChT3kw', 'pbCb0Tz0KQ0kkgaxzhWhoA', 'Ed0GuUa_1UjbSk8qaQsHlA', '_LNCGYNoGKxyVUag3EG0-g', 'B9iPTih0dmpZn6fRyZnLLg', 'gTrKXmAx1ytdvh1xutIlfA', 'u1gUbwyeBe8mtV97hZyImg', 'UiRx8jyS6H957ItwFsP2nQ', 'IPxJLWpKptzpTWlfjFiuHA', 'srETv2HpH9fQ-7wCvCAQng', 'cUB2WhICFuSe7DwXAIoo0g', 'vU9_lZqJQIR8btUYw7fqxA', 'pLZIZXIebqEcrX7IVKoJRg', 'IWxNILja-WvurTuJWJ4skA', '63hpZgj7peTKizDs4zeKZA']"
0juMoWXC7z4c7LgQP2s3sA,JR,199,482,4,9,"['46Wi08T5D3phf3SMgi7U3w', 'HUxktqjf5kJm0tIHTCCwsQ', 'X-8WUdJ1hYidYXQygzTEBw', 'sGaoPWB_p1aOm5z9cnV3Aw']"
FlhZYUEhfpfm0Ynxacftwg,Kate,94,124,5,6,"['UiRx8jyS6H957ItwFsP2nQ', 'Oi1qbcz2m2SnwUeztGYcnQ', 'Vgk5Cnye-wjiSMGDBKoK9w', 'Zpb3qkFUeQOY5e8ZrNeGaQ', 'kTpsjDUhl9BlRl0FVuNreA']"
PadmV2GEoA6mWpQUpPh7Ig,Monica,695,1559,2,104,"['hHoigAK81AtqSUtBmkqWjg', 'wZPizeBxMAyOSl0M0zuCjg']"
1-gnHNzZNbn8lFwYRF_CtA,Liz,112,563,3,36,"['-NbeVN5tnwdyYAvdNkKMjw', 'rm92EiaA7h5lLbAK5dJKcw', '47K1MpOBhigOvjuBcDbm7Q']"
UJEjJgi1xpmLR4b3J8fn2Q,Ken,341,1385,75,35,"['6WG2IGTVr-xKn0pYQZJGjw', '61FNJUiDqXReViksOYiILQ', 'Wmux4GgQkNBGz4mb0BBT3w', 'X-8WUdJ1hYidYXQygzTEBw', 'j_orXueAYJBft-VUNbs1IA', '31_OzcUIfroEoSqpYuPQuw', 'ppsm8EDKjA1fp1yTCP3RrQ', 'AvGJVv7Z3a0q1MJT1Ykd0w', 'P9hbcVoZIPKF4gV8KH427A', '46Wi08T5D3phf3SMgi7U3w', 'B4cnr5d2S_7McR3XBfrscA', 's_ushMFjAYjIvszJW2gOhQ', 'mzL0zHFGyd9866OUljq49g', 'hVPyu7QWaSQgOlz0rppmkg', '7ZauzmeTHuR-8FqnmJbOtA', 'lRRuTimITgwzoXLIM3g9qw', 'ZCVEZmTB_StK-UXA3WPVlQ', 'oknU9tuT6R16XlolOBnWHw', 'NMOxipsnXc6olWdHYzXiYA', 'EouCKoDfzaVG0klEgdDvCQ', 'TR7ezcRznfr1Jif7euZZJg', 'FlXBpK_YZxLo27jcMdII1w', 'v4KYRLFGmeqwlntnDbJ4Uw', 'fYB4nPD2Y0uXXpVo20ZrNg', '-hKniZN2OdshWLHYuj21jQ', '_hPjqzQDiyw1-4U_IAETpg', 'hv2VFkaZpwdVSl-VdNfitw', '5G2IF0VIN3Brl-m45QDXsA', 'GcdYgbaF75vj7RO6EZhPOQ', 's-xVBnGjW1U4iqbTJRSu7Q', 'cUB2WhICFuSe7DwXAIoo0g', 'HigkMf3t7YE_X0D49Vd7jQ', '_BcWyKQL16ndpBdggh2kNA', 'cIVmIJD7nIiEcVGamfBoVw', 'wWa9X07Cq8EVaqJrA5QKyA', 'FC2VrNn9SmcchQc31D1mHA', 'C6YEJOh2TUgBUqwWN6a4cQ', 'Dn9WngLhC-utqIS07IlP2A', 'dqucQwA-CHWhUczwqIxKKg', 'Zpb3qkFUeQOY5e8ZrNeGaQ', 'TFvhSVpxUgZWks1cZqpakA', 'RKULSOrIvvYpDmtuYXEXzA', 'XQk-XZKwNim2fsc8_LHksA', 'zhDIG_fmwym2xJssR3bmcQ', '8EMU7d4pCkdqUnvlIW40CA', 'Ch759-9JBBu-UafQ2-abYQ', 'XuaqlmZdRldcw97I_TtX9w', 'K17847uudqPFPIjSPgxs2A', 'u7lGgwVTmPaILJ0C1CwnHg', 'BmVwbsL8l0imz4slonyMaA', '6Mv-qMJyxSokCu8YFM1o0A', 'fCvMnJU1Z-XhAjKg99wK3Q', 'TOj5yZZEwS3J3fLgo3V3yQ', '8wQIoFapkegkC5fcVYg_Iw', 'EQpFHqGT9Tk6YSwORTtwpg', '-G7Zkl1wIWBBmD0KRy_sCw', 'ZcogXYI50Ja_6b4CdEG_0Q', 'vbEf26yXYP0WBsveEXWIlw', '6Yy4vdVpfmy19SigDdVZtA', 'Oi1qbcz2m2SnwUeztGYcnQ', 'y3Wtx1pOvTiqsJRkjceXiw', 'vU9_lZqJQIR8btUYw7fqxA', 'KuYOQa9gGKK9h1HfvRDAMA', 'SeWsQoYPbQuMAqfRNNS6Jg', 'sGaoPWB_p1aOm5z9cnV3Aw', 'NNgQ8fV5ARQgHw-Ob7l50A', 'KeuhteHe76DxDlXnkWoDwA', 'DSG2QzgGD_0QgNGqYITraw', 'OLGQ7alK4VKl3YdQk6UF5g', 'GqEF3Wh2e8Q2G2pN7JivrA', 'R0NPQEVtdE-3atyhMFt6PQ', '6kJFLAHV-tNsBEZaRTqEWQ', '6pbNMgTnSYrtPHDN07IXwA', 'tUW0AXg4C3H9TP5lyhoQuA', 'IfiZzbPMZvlQ94IffHV7kg']"
7LmJ87EijrHcoYRu9WgoHg,Jack,1050,3788,14,117,"['XYSDrIef7g4Gmp3lNFVO6A', '1vB6Olfkba7Sb-Y6TfiB0Q', '6Mv-qMJyxSokCu8YFM1o0A', 'TOj5yZZEwS3J3fLgo3V3yQ', 'JcB4XA0zxlx6F4b4MUT0Hg', 'xvZ6w6zoogvvcEu2Shz88A', 'BcovypoLnNk7LGsnBEN9_A', 'Oe4LLtN1tn46sDUM-BSX_A', 'We9qK9M-oI6LUULbQo_InQ', 'RKULSOrIvvYpDmtuYXEXzA', 'hUC20Pp-3Cj9jbBRYjn4wQ', 'huayr-WjhExgJPIZcRhZIQ', 'DMx9EJox_ZlUHgrQE5JvGw', 'EiT_pSuIb08oRn4CfwfMJg']"
FH14lvoIAKhva9KVgvzKJw,Dylan,34,56,0,2,[]
kLm3B6LeboEZWX_4otpILA,Izzat,1670,794,2,35,"['Oi1qbcz2m2SnwUeztGYcnQ', 'RPJD8hqBnROZREuUc7liEA']"
VFXKRVzEMbnsDcYFdwiiuA,Kent,1072,694,2,22,"['J9c0XM-wV_KQmtZYxvIFFQ', 'Oi1qbcz2m2SnwUeztGYcnQ']"
y5qEpAfJQaOjjG8ZJWrp6w,Jill,333,1106,29,32,"['6Mv-qMJyxSokCu8YFM1o0A', 'ljDvuID7AyHmJ0GJqfV5_A', 'mqXEVHLZI5B40WNbID17Vw', 'TA_7dlpIA5rGx-oiyhiAIA', 'pTvR_xN-sWY5-jakTKw1ag', 'rbTtgeU7eVNbj6hiKdA7jw', 'y3Wtx1pOvTiqsJRkjceXiw', 'r1WDuGy68RvaBzQ58hod8A', 'kaa6i7IHMyYIom7DIul9EQ', 'dlaUfTvPZyeNVhFjK3EOcQ', '9piMEmpL9nfG8OBA31Ihlw', 'TMvp5YDUtrwHF4qS1eHseg', '4-lVJUDmcKvknzCzpzNNUA', '_SRkg8TO8BSfSrcLLTming', '0vIpp7kFVgrM0ADkH_NA2g', 'ZHetlfbMxwAdW2Uas-_Oyw', 'lsX3yn80H87nFY36Xkkc8Q', 'GjVo48jr63RsTg0uwrdkWw', 'XQk-XZKwNim2fsc8_LHksA', '1ih5oVcSPxjy5_b1STBgyg', 'owQqWfiEnsHGJIcrzDJ_Xw', 'AvGJVv7Z3a0q1MJT1Ykd0w', '6BofTeZVuAsbHh69aOEtCA', 'w_ulWOjbIYa0seIc87wkdw', 'NdIuevq5RxeaIdAM74-5_Q', '_BcWyKQL16ndpBdggh2kNA', 'xJe2bKX81FeKdBXfDye_7Q', 'BmVwbsL8l0imz4slonyMaA', 'Oi1qbcz2m2SnwUeztGYcnQ']"
-tnodf38uCXjogMhZtcWxw,Matt,453,384,0,7,[]
mZHk_DPbeUTQBZOBOyoqlA,Erin,280,936,6,28,"['ZZ0fsmQf-VLTrSv0T9_cZA', '7ijRyJFoy7IebLa5r0fJRg', 'bfoWSqve91gVnhUwMm_KJQ', 'CHeMEder5ijEoCPLWjto_Q', 'UiRx8jyS6H957ItwFsP2nQ', '1Z2CVv2zDnb7Dg_j_S7rOg']"
GG0mFsEXb-02_dzFPqRV1Q,Mandy,754,2925,39,57,"['Oi1qbcz2m2SnwUeztGYcnQ', 'jAP_EiSAz9r3q7o3ZGAS8g', 'UiRx8jyS6H957ItwFsP2nQ', '5G2IF0VIN3Brl-m45QDXsA', 'Wmux4GgQkNBGz4mb0BBT3w', 'pPLZVbmjcG7OPIbmR1q8JA', 'mzL0zHFGyd9866OUljq49g', '-NbeVN5tnwdyYAvdNkKMjw', 'jtkXg-OITT1Wvq0jCpLudA', 'z02XKjGqJMONH59_lUHlTQ', '_BcWyKQL16ndpBdggh2kNA', 'Zp1o52IRl92dunmsfiT96g', '9Vv0TwCtWTebVGB29uml3A', '_hPjqzQDiyw1-4U_IAETpg', 'vLsNkiz6TXXVFfxQxi3oSA', 'RKULSOrIvvYpDmtuYXEXzA', '135DbbQnr3BEkQbBzZ9T1A', 'IMVZIi7x3d3NIQH1T5MN-Q', 'dqucQwA-CHWhUczwqIxKKg', 'hL7P5o46JKPbDm9O6hw9Ng', 'FlXBpK_YZxLo27jcMdII1w', 'GfI-d9mQePFA2PvhAd4WGQ', 'fCvMnJU1Z-XhAjKg99wK3Q', 'MEgTog8Eot2kupiPE_1pmA', 'RCXX__k3R2Zf1kzmTpopWA', 'qIVLLE6twbV_33WpiGIzDw', '5qN309JwiJ8UGDUdkzA6fg', 'vU9_lZqJQIR8btUYw7fqxA', 'BmVwbsL8l0imz4slonyMaA', '0efhiL1BfEuRKyQT8VXuLQ', 'p1EiD_VGJfAQwo543FmQog', 'gWZETLPu_ihAtLOYtrm0mw', 'gXpVmuIiaVJrskxQ0eDj3Q', 'xDVd1YGZ3KN0JAJE1y__BQ', 'NGGd_11d2RXR8wTurenLgg', '6pbNMgTnSYrtPHDN07IXwA', '-FZBTkAZEXoP7CYvRV2ZwQ', 'e07N9h4zSveDeex9qTJegQ', 'E53n5hlS77UzW4TVr_73vA']"
nPJw7YpKgHE6fowxgl3l1A,Abbie,157,201,8,15,"['mzL0zHFGyd9866OUljq49g', 'P9hbcVoZIPKF4gV8KH427A', '61FNJUiDqXReViksOYiILQ', 'Lrk7Q6eJcu1nyDdW0SMiKw', '0YyF7OrD2VEUVUiYmKZ8MA', 'pbCb0Tz0KQ0kkgaxzhWhoA', '5G2IF0VIN3Brl-m45QDXsA', 'Oi1qbcz2m2SnwUeztGYcnQ']"
k_muz40jJaiY1PVga6NDXA,Louis,1070,2727,17,64,"['JcB4XA0zxlx6F4b4MUT0Hg', 'I6YARR1VloAua-buFULo1Q', 'Oi1qbcz2m2SnwUeztGYcnQ', 'uGmPjuszV7NTbgUci9fo5w', 'dqucQwA-CHWhUczwqIxKKg', 'Lrk7Q6eJcu1nyDdW0SMiKw', 'RKULSOrIvvYpDmtuYXEXzA', 'ACwBMSJzgW6vOvV7vOrk8Q', 'vU9_lZqJQIR8btUYw7fqxA', 'pdAm41Q17MJ2VkMNak1mvw', '_BcWyKQL16ndpBdggh2kNA', 'EQpFHqGT9Tk6YSwORTtwpg', '6pbNMgTnSYrtPHDN07IXwA', 'jkqhSCrMpTaxTp0TFwKjeQ', 'MnYfi2DODiZkLIwJFuwB2g', '7ZauzmeTHuR-8FqnmJbOtA', 'NGGd_11d2RXR8wTurenLgg']"
ojxS1v-8nUvEEx4DlsPQrA,Kristin,655,621,26,34,"['HvQ45V3LxGbY6-YZ97cvqQ', '5G2IF0VIN3Brl-m45QDXsA', 'xfy_Lb4BhhQUt9YZhxkNaw', '-lbNYxWHPkLJYf891XueRQ', 'oxJJ0N82GFZeBCxBi6vH1A', 'Oi1qbcz2m2SnwUeztGYcnQ', 'FI87kNj8UDSSnmhwXsRnjQ', 'hwB9QTmjZRd48mbGPcnw8Q', '135DbbQnr3BEkQbBzZ9T1A', 'UiRx8jyS6H957ItwFsP2nQ', 'dqucQwA-CHWhUczwqIxKKg', 'WIdUAxJqXKp2imC_BfcxMg', '2OiyOHo7CQY05bFwY55HjA', 'zZnqYvA3pXZA1pkyMjNfjg', 'HBLDsdGpWd13cnu6hoeR5w', 'qEQob9pzNanp9BZbCiUUwQ', 'ZcogXYI50Ja_6b4CdEG_0Q', 'gWZETLPu_ihAtLOYtrm0mw', 'KeuhteHe76DxDlXnkWoDwA', 'FOC5dArAp-ZPzMsJLYoZDQ', 'BmVwbsL8l0imz4slonyMaA', 'lN_sKVrvdQA_N58IhpSEyQ', '61FNJUiDqXReViksOYiILQ', 'kTpsjDUhl9BlRl0FVuNreA', 'wnrHhjDpQk5uLUK7Iku75A', 'XuhpPK0bZgVenkGBh7KA6w']"
SBpz4xJ8MnrzXOpWiETCyw,Joe,37,92,3,4,"['1sH89m2CFbR703kjJ2vA9w', 'X1BquFYJoqw4IOSy7FIhMQ', '_BcWyKQL16ndpBdggh2kNA']"
NNyr4wknApjc5nF9QOO2Mg,Melissa,186,712,2,39,"['UiRx8jyS6H957ItwFsP2nQ', '-NbeVN5tnwdyYAvdNkKMjw']"
cwChkLd3jcvmqrk5UfUGJw,Rock,93,36,3,1,"['7BQ1BWYUgmTGTlwexQCSNQ', 'PN18VV9-GLY3rschJvRQBQ', 'VZPhSOMmruVJEgNnIxZTRQ']"
